row,address,directions
"1","400-430 E 30th St, New York, NY","Walk to 400 E 30th St, New York, NY 10016, USA"
"2","1122 Franklin Ave, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (13 stops), exit at 3 Av-138 St
Walk to Lincoln Av/E 138 St
Bus towards Westchester Sq — take the Bx21 toward Westchester Sq (9 stops), exit at Boston Rd/E 166 St
Walk to 1122 Franklin Ave, Bronx, NY 10456, USA"
"3","400-430 E 30th St, New York, NY","Walk to 400 E 30th St, New York, NY 10016, USA"
"4","151 E 151st St, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Eastchester-Dyre Av — take the 5 Line toward Eastchester-Dyre Av (6 stops), exit at 3 Av-149 St
Walk to E 151st St, Bronx, NY, USA"
"5","116 Williams Ave, Brooklyn, NY","Walk to 3 Avenue & East 23 Street
Bus towards City Hall via Lex Av — take the M103 toward City Hall via Lex Av (3 stops), exit at 3 Av/E 14 St
Walk to 3 Av
Subway towards Canarsie-Rockaway Pkwy — take the L Line toward Canarsie-Rockaway Pkwy (15 stops), exit at Atlantic Av
Walk to 116 Williams Ave, Brooklyn, NY 11207, USA"
"6","100-32 Atlantic Ave, Queens, NY","Walk to E 34 St/2 Av
Bus towards Spring Creek Seaview Av via Linden Bl Via Penn Av — take the BM5 toward Spring Creek Seaview Av via Linden Bl Via Penn Av (1 stop), exit at Woodhaven Blvd/Penelope Av
Bus towards +select Bus Rockaway Park Beach 116 St — take the Q53-SBS toward +select Bus Rockaway Park Beach 116 St (4 stops), exit at Woodhaven Blvd/91 Av
Walk to 100-32 Atlantic Ave, Jamaica, NY 11416, USA"
"7","89-74 162nd Street 3rd Floor, Queens, NY","Walk to 1 Av/E 29 St
Bus towards Select Bus Service 125 St via 1 Av — take the M15-SBS toward Select Bus Service 125 St via 1 Av (3 stops), exit at 1 Av/Mitchell Pl
Walk to Lexington Av/53 St
Subway towards Jamaica Center-Parsons/Archer — take the E Line toward Jamaica Center-Parsons/Archer (8 stops), exit at Jamaica Center-Parsons/Archer
Walk to 89-74 162nd St 3rd floor, Jamaica, NY 11432, USA"
"8","1600 Central Ave, Queens, NY","Walk to E 34 St/1 Av
Bus towards Select Bus Pa Bus Trm via 34 St Via 8 Av — take the M34A-SBS toward Select Bus Pa Bus Trm via 34 St Via 8 Av (7 stops), exit at 8 Av/W 34 St
Walk to 34 St-Penn Station
Subway towards Far Rockaway-Mott Av — take the A Line toward Far Rockaway-Mott Av (25 stops), exit at Far Rockaway-Mott Av
Walk to 16-00 Central Ave, Far Rockaway, NY 11691, USA"
"9","205 Canal St, Staten Island, NY","Walk to E 23 St/1 Av
Bus towards Eltingville Trans Ctr via Hylan Via Rich — take the SIM10 toward Eltingville Trans Ctr via Hylan Via Rich (2 stops), exit at Narrows Rd North/Saint Johns Av
Walk to Hylan Blvd/Donley Av
Bus towards St George Ferry via Hylan — take the S78 toward St George Ferry via Hylan (8 stops), exit at Tompkins Av/Broad St
Walk to 205 Canal St, Staten Island, NY 10304, USA"
"10","2134 Richmond Terrace, Staten Island, NY","Walk to E 23 St/1 Av
Bus towards Eltvlle Trans Ctr via F Cap Bl Via Gfrds — take the SIM6 toward Eltvlle Trans Ctr via F Cap Bl Via Gfrds (1 stop), exit at Lily Pond Av/Mcclean Av
Walk to Mcclean Av/Lily Pond Av
Bus towards Port Richmond — take the S53 toward Port Richmond (39 stops), exit at Port Richmond Av/Richmond Terr
Walk to 2134 Richmond Ter, Staten Island, NY 10302, USA"
"11","1540 Castleton Ave, Staten Island, NY","Walk to E 23 St/1 Av
Bus towards Eltvlle Trans Ctr via F Cap Bl Via Gfrds — take the SIM6 toward Eltvlle Trans Ctr via F Cap Bl Via Gfrds (1 stop), exit at Lily Pond Av/Mcclean Av
Walk to Mcclean Av/Lily Pond Av
Bus towards Port Richmond — take the S53 toward Port Richmond (36 stops), exit at Castleton Av/Heberton Av
Walk to 1540 Castleton Ave, Staten Island, NY 10302, USA"
"12","1466 Manor Road, Staten Island, NY 10314","Walk to E 23 St/1 Av
Bus towards Eltvlle Trans Ctr via F Cap Bl Via Gfrds — take the SIM6 toward Eltvlle Trans Ctr via F Cap Bl Via Gfrds (19 stops), exit at Nelson Av/Hylan Blvd
Bus towards W New Brighton Richmond Terr — take the S54 toward W New Brighton Richmond Terr (38 stops), exit at Brielle Av/Manor Rd
Walk to 1466 Manor Rd, Staten Island, NY 10314, USA"
"13","307 Saint Marks Place, Staten Island, NY 10301","Walk to E 23 St/1 Av
Bus towards Eltingville Trans Ctr via Hylan Via Rich — take the SIM10 toward Eltingville Trans Ctr via Hylan Via Rich (5 stops), exit at Hylan Blvd/Old Town Rd
Walk to Old Town
Train towards St George — take the SIR toward St George (4 stops), exit at Tompkinsville
Walk to 307 St Marks Pl, Staten Island, NY 10301, USA"
"14","8 E 109th St, New York, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (10 stops), exit at 110 St
Walk to 8 E 109th St, New York, NY 10029, USA"
