row,address,map_url
"1","400-430 E 30th St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=400-430%20E%2030th%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C400-430%20E%2030th%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"2","1122 Franklin Ave, Bronx, NY","https://maps.googleapis.com/maps/api/staticmap?center=1122%20Franklin%20Ave%2C%20Bronx%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C1122%20Franklin%20Ave%2C%20Bronx%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"3","400-430 E 30th St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=400-430%20E%2030th%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C400-430%20E%2030th%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"4","151 E 151st St, Bronx, NY","https://maps.googleapis.com/maps/api/staticmap?center=151%20E%20151st%20St%2C%20Bronx%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C151%20E%20151st%20St%2C%20Bronx%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"5","116 Williams Ave, Brooklyn, NY","https://maps.googleapis.com/maps/api/staticmap?center=116%20Williams%20Ave%2C%20Brooklyn%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C116%20Williams%20Ave%2C%20Brooklyn%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"6","100-32 Atlantic Ave, Queens, NY","https://maps.googleapis.com/maps/api/staticmap?center=100-32%20Atlantic%20Ave%2C%20Queens%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C100-32%20Atlantic%20Ave%2C%20Queens%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"7","89-74 162nd Street 3rd Floor, Queens, NY","https://maps.googleapis.com/maps/api/staticmap?center=89-74%20162nd%20Street%203rd%20Floor%2C%20Queens%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C89-74%20162nd%20Street%203rd%20Floor%2C%20Queens%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"8","1600 Central Ave, Queens, NY","https://maps.googleapis.com/maps/api/staticmap?center=1600%20Central%20Ave%2C%20Queens%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C1600%20Central%20Ave%2C%20Queens%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"9","205 Canal St, Staten Island, NY","https://maps.googleapis.com/maps/api/staticmap?center=205%20Canal%20St%2C%20Staten%20Island%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C205%20Canal%20St%2C%20Staten%20Island%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"10","2134 Richmond Terrace, Staten Island, NY","https://maps.googleapis.com/maps/api/staticmap?center=2134%20Richmond%20Terrace%2C%20Staten%20Island%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C2134%20Richmond%20Terrace%2C%20Staten%20Island%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"11","1540 Castleton Ave, Staten Island, NY","https://maps.googleapis.com/maps/api/staticmap?center=1540%20Castleton%20Ave%2C%20Staten%20Island%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C1540%20Castleton%20Ave%2C%20Staten%20Island%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"12","1466 Manor Road, Staten Island, NY 10314","https://maps.googleapis.com/maps/api/staticmap?center=1466%20Manor%20Road%2C%20Staten%20Island%2C%20NY%2010314&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C1466%20Manor%20Road%2C%20Staten%20Island%2C%20NY%2010314&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"13","307 Saint Marks Place, Staten Island, NY 10301","https://maps.googleapis.com/maps/api/staticmap?center=307%20Saint%20Marks%20Place%2C%20Staten%20Island%2C%20NY%2010301&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C307%20Saint%20Marks%20Place%2C%20Staten%20Island%2C%20NY%2010301&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"14","8 E 109th St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=8%20E%20109th%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C8%20E%20109th%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"15","263 W 86th St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=263%20W%2086th%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C263%20W%2086th%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"16","252 W 116th St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=252%20W%20116th%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C252%20W%20116th%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"17","144 W 32nd St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=144%20W%2032nd%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C144%20W%2032nd%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"18","120 E 32nd St, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=120%20E%2032nd%20St%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C120%20E%2032nd%20St%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
"19","296 9th Ave, New York, NY","https://maps.googleapis.com/maps/api/staticmap?center=296%209th%20Ave%2C%20New%20York%2C%20NY&zoom=15&size=400x300&markers=color:red%7Clabel:★%7C296%209th%20Ave%2C%20New%20York%2C%20NY&style=feature:poi|visibility:off&key=AIzaSyDc1GdgUKSjOoXJx7aW1IaoIYORtFXflCU"
